packet_id,label,mutation_type,severity,pr_vendor,gst_vendor,pr_ref,gst_ref,pr_amount,gst_amount,pr_date,gst_date,pr_gstin,gst_gstin
pkt-0,FUZZY_MATCH,date_shift,medium,Supplier LLC 0,Supplier LLC 0,INV-10000,INV-10000,32007.4,32007.4,2023-01-24,2023-01-22,27AAAAA1000A1Z5,27AAAAA1000A1Z5
pkt-1,NO_MATCH,different_entity,high,Supplier Inc 1,Different Supplier Inc,INV-10001,INV-10001,7062.94,7062.94,2023-02-22,2023-02-22,27AAAAA1001A1Z5,27BBBBB1234B1Z5
pkt-2,FUZZY_MATCH,date_shift,medium,Supplier Corp 2,Supplier Corp 2,INV-10002,INV-10002,21153.9,21153.9,2023-01-03,2023-01-06,27AAAAA1002A1Z5,27AAAAA1002A1Z5
pkt-3,FUZZY_MATCH,date_shift,medium,Supplier Ltd 3,Supplier Ltd 3,INV-10003,INV-10003,30140.73,30140.73,2023-09-07,2023-09-09,27AAAAA1003A1Z5,27AAAAA1003A1Z5
pkt-4,EXACT_MATCH,none,none,Supplier Corp 4,Supplier Corp 4,INV-10004,INV-10004,29504.36,29504.36,2023-01-25,2023-01-25,27AAAAA1004A1Z5,27AAAAA1004A1Z5
pkt-5,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 5,Supplier Corp 5,INV-10005,INV-10005,21188.46,21188.46,2023-05-05,2023-05-05,27AAAAA1005A1Z5,27AAAAA1005A1ZX
pkt-6,NO_MATCH,invalid_gstin_suffix,high,Supplier LLC 6,Supplier LLC 6,INV-10006,INV-10006,5200.29,5200.29,2023-07-04,2023-07-04,27AAAAA1006A1Z5,27AAAAA1006A1ZX
pkt-7,CONTRADICTION,major_amount_diff,high,Supplier Ltd 7,Supplier Ltd 7,INV-10007,INV-10007,30225.93,60451.860,2023-01-24,2023-01-24,27AAAAA1007A1Z5,27AAAAA1007A1Z5
pkt-8,EXACT_MATCH,none,none,Supplier LLC 8,Supplier LLC 8,INV-10008,INV-10008,6328.83,6328.83,2023-07-03,2023-07-03,27AAAAA1008A1Z5,27AAAAA1008A1Z5
pkt-9,EXACT_MATCH,none,none,Supplier Corp 9,Supplier Corp 9,INV-10009,INV-10009,30964.14,30964.14,2023-06-19,2023-06-19,27AAAAA1009A1Z5,27AAAAA1009A1Z5
pkt-10,FUZZY_MATCH,string_distance,low,Supplier LLC 10,Suplier LLC 10,INV-10010,INV10010,3570.8,3570.8,2023-11-08,2023-11-08,27AAAAA1010A1Z5,27AAAAA1010A1Z5
pkt-11,NO_MATCH,missing_record,high,Supplier LLC 11,,INV-10011,,42780.35,,2023-02-13,,27AAAAA1011A1Z5,
pkt-12,NO_MATCH,invalid_gstin_suffix,high,Supplier LLC 12,Supplier LLC 12,INV-10012,INV-10012,31820.65,31820.65,2023-06-06,2023-06-06,27AAAAA1012A1Z5,27AAAAA1012A1ZX
