pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_cgst,gstr2b_cgst,pr_sgst,gstr2b_sgst,label,provenance
19ABCDE2934F1Z5,19ABCDE2934F1Z5,"Datta, Lad and Dey",Andra-Krishnamurthy,INV-2995/23,INV-2570/21,2026-02-03,2026-02-03,36394.88,84415.84,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_315"", ""mutations"": [""contradiction""], ""seed"": 12345}"
66ABCDE1520F1Z5,66ABCDE1520F1Z5,"Lata, Tailor and Tripathi","Lata, Tailor and Tripathi",INV-5427/24,INV-5427/24,2026-02-24,2026-02-24,47166.54,47166.54,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1199"", ""mutations"": [], ""seed"": 12345}"
61ABCDE8883F1Z5,61ABCDE8883F1Z5,Apte Ltd,Apte Ltd,INV-9783/22,IN-9783/22,2026-08-21,2026-08-21,24035.98,24039.79,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1245"", ""mutations"": [""ocr_mutation"", ""tax_mutation""], ""seed"": 12345}"
84ABCDE6602F1Z5,84ABCDE6602F1Z5,Wali Inc,Wali Inc,INV-4312/23,INO-4312/23,2026-08-16,2026-08-17,7281.45,7281.45,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_353"", ""mutations"": [""ocr_mutation"", ""date_mutation""], ""seed"": 12345}"
16ABCDE2604F1Z5,16ABCDE2604F1Z5,Deol-Wable,Deol-Wable,INV-1354/26,INV-1354/26,2026-02-03,2026-02-03,98503.74,98503.74,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3729"", ""mutations"": [], ""seed"": 12345}"
53ABCDE9818F1Z5,,Raval-Varughese,,INV-7577/24,,2026-03-16,,8511.08,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_980"", ""mutations"": [""missing""], ""seed"": 12345}"
83ABCDE9805F1Z5,83ABCDE9805F1Z5,"Varghese, Varty and Sharma",Balakrishnan-Gopal,INV-2305/21,INV-8800/22,2025-10-04,2025-10-04,14603.27,58411.11,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_685"", ""mutations"": [""contradiction""], ""seed"": 12345}"
99ABCDE9201F1Z5,99ABCDE9201F1Z5,Mallick-Oommen,Mallick-Oommen,INV-1218/23,INV-1218/23,2025-09-12,2025-09-12,78764.87,78764.87,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_938"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
40ABCDE9412F1Z5,40ABCDE9412F1Z5,Ranganathan Inc,"Virk, Buch and Lal",INV-4772/22,INV-5270/21,2026-01-15,2026-01-15,53725.18,73190.59,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1025"", ""mutations"": [""contradiction""], ""seed"": 12345}"
34ABCDE6557F1Z5,34ABCDE6557F1Z5,Joshi-Bora,Joshi-Bora,INV-7148/21,INV-7148/21,2026-03-21,2026-03-21,81341.41,81341.41,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2944"", ""mutations"": [], ""seed"": 12345}"
54ABCDE9453F1Z5,54ABCDE9453F1Z5,Sant Inc,Sant Inc,INV-9686/20,INV-9686/20,2025-11-27,2025-11-27,25260.02,25260.02,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3398"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
65ABCDE5725F1Z5,65ABCDE5725F1Z5,Agrawal PLC,Agrawal PLC,INV-1366/22,INV-1366/22,2026-02-15,2026-02-15,92876.42,92876.42,0.0,16717.76,8358.88,0.0,8358.88,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_572"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
60ABCDE9313F1Z5,60ABCDE9313F1Z5,"Kapadia, Walia and Bhattacharyya","Kapadia, Walia and Bhattacharyya",INV-3935/21,INV-3935/21,2025-10-25,2025-10-25,12642.9,12642.9,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2658"", ""mutations"": [], ""seed"": 12345}"
10ABCDE2479F1Z5,10ABCDE2479F1Z5,"Natt, Pau and Badal","Natt, Pau and Badal",INV-6547/26,INV-6547/26,2025-12-02,2025-12-02,8056.9,14706.34,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2008"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
52ABCDE2859F1Z5,,Vala PLC,,INV-7687/20,,2026-05-12,,76998.17,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_1056"", ""mutations"": [""missing""], ""seed"": 12345}"
11ABCDE9585F1Z5,11ABCDE9585F1Z5,"Ghosh, Goel and Mammen",Mahajan Inc,INV-5336/25,INV-4791/21,2026-03-01,2026-03-01,64157.4,55208.63,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_721"", ""mutations"": [""contradiction""], ""seed"": 12345}"
83ABCDE1423F1Z5,83ABCDE1423F1Z5,Talwar Inc,Talwar Inc,INV-4739/26,INV-4739-26,2026-01-10,2026-10-01,6466.88,6466.88,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3438"", ""mutations"": [""format_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
,55ABCDE5786F1Z5,,"Kanda, Boase and Chahal",,INV-7897/21,,2025-12-18,,8294.75,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_688"", ""mutations"": [""missing""], ""seed"": 12345}"
78ABCDE9338F1Z5,78ABCDE9338F1Z5,"Misra, Choudhary and Varkey","Misra, Choudhary and Varkey",INV-8150/26,INV-8150/26,2026-03-22,2026-03-22,11688.47,11688.47,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_756"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
38ABCDE5811F1Z5,38ABCDE5811F1Z5,Ravi Inc,Ravi Inc,INV-3262/26,1NV-3262/26,2026-06-06,2026-06-06,10873.47,10873.47,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1466"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
20ABCDE8275F1Z5,20ABCDE8275F1Z5,Cherian-Bera,Cherian-Bera,INV-5910/25,INV-5910/25,2025-12-28,2025-12-28,58570.92,72684.93,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_618"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
,73ABCDE4557F1Z5,,Ravel PLC,,INV-2803/26,,2026-05-15,,15968.12,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_1043"", ""mutations"": [""missing""], ""seed"": 12345}"
55ABCDE2421F1Z5,55ABCDE2421F1Z5,"Ghose, Varghese and Thaker","Ghose, Varghese and Thaker",INV-9417/24,INV-9417/24,2026-07-17,2026-07-17,95082.95,95082.95,0.0,17114.93,8557.47,0.0,8557.47,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_900"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
78ABCDE2793F1Z5,78ABCDE2793F1Z5,Raj Ltd,Raj Ltd,INV-8967/21,INV-8967/21,2026-02-18,2026-02-18,36771.7,55436.02,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2082"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
71ABCDE3147F1Z5,,Samra-Talwar,,INV-6750/24,,2025-11-29,,72107.14,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_1497"", ""mutations"": [""missing""], ""seed"": 12345}"
54ABCDE6523F1Z5,54ABCDE6523F1Z5,Rajagopalan Inc,Rajagopalan Inc,INV-7535/24,INV/7535/24,2026-05-16,2026-05-16,34707.63,34707.63,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_605"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
14ABCDE8265F1Z5,14ABCDE8265F1Z5,Chanda-Narayanan,Chanda-Narayanan,INV-7819/23,INV-7819/23,2025-10-06,2025-10-06,9774.65,16672.49,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_859"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
