pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_node_degree,gst_node_degree,component_size,label
07ABCDE4940F1Z5,07ABCDE4940F1Z5,Supplier 0,Supplier 0,INV-00000,INV-00000,2026-11-29,2026-11-29,79265,79265,14267.70,14267.70,1,1,2,EXACT_MATCH
07ABCDE5277F1Z5,07ABCDE5277F1Z5,Supplier 1,Supplier 1,INV-00001,INV-00001,2026-05-21,2026-05-21,77979,77979,14036.22,14036.22,1,1,2,EXACT_MATCH
07ABCDE6661F1Z5,07ABCDE6661F1Z5,Supplier 2,Supplier 2,INV-00002,INV-00002,2026-03-24,2026-03-24,34477,34477,6205.86,6205.86,1,1,2,EXACT_MATCH
07ABCDE4187F1Z5,07ABCDE4187F1Z5,Supplier 3,Supplier 3,INV-00003,INV-00003,2026-05-15,2026-05-15,20054,20054,3609.72,3609.72,1,1,2,EXACT_MATCH
07ABCDE1688F1Z5,07ABCDE1688F1Z5,Supplier 4,Supplier 4,INV-00004,INV-00004,2026-03-29,2026-03-29,76085,76085,13695.30,13695.30,1,1,2,EXACT_MATCH
07ABCDE3076F1Z5,07ABCDE3076F1Z5,Supplier 5,Supplier 5,INV-00005,INV-00005,2026-10-16,2026-10-16,2076,2076,373.68,373.68,1,1,2,EXACT_MATCH
07ABCDE2379F1Z5,07ABCDE2379F1Z5,Supplier 6,Supplier 6,INV-00006,INV-00006,2026-08-15,2026-08-15,20255,20255,3645.90,3645.90,1,1,2,EXACT_MATCH
07ABCDE2396F1Z5,07ABCDE2396F1Z5,Supplier 7,Supplier 7,INV-00007,INV-00007,2026-03-07,2026-03-07,75672,75672,13620.96,13620.96,1,1,2,EXACT_MATCH
07ABCDE7639F1Z5,07ABCDE7639F1Z5,Supplier 8,Supplier 8,INV-00008,INV-00008,2026-07-03,2026-07-03,55337,55337,9960.66,9960.66,1,1,2,EXACT_MATCH
07ABCDE5235F1Z5,07ABCDE5235F1Z5,Supplier 9,Supplier 9,INV-00009,INV-00009,2026-07-12,2026-07-12,69058,69058,12430.44,12430.44,1,1,2,EXACT_MATCH
07ABCDE6881F1Z5,07ABCDE6881F1Z5,Supplier 10,Supplier 10,INV-00010,INV-00010,2026-12-16,2026-12-16,54739,54739,9853.02,9853.02,1,1,2,EXACT_MATCH
07ABCDE8143F1Z5,07ABCDE8143F1Z5,Supplier 11,Supplier 11,INV-00011,INV-00011,2026-05-18,2026-05-18,82865,82865,14915.70,14915.70,1,1,2,EXACT_MATCH
07ABCDE8015F1Z5,07ABCDE8015F1Z5,Supplier 12,Supplier 12,INV-00012,INV-00012,2026-09-09,2026-09-09,40338,40338,7260.84,7260.84,1,1,2,EXACT_MATCH
07ABCDE2210F1Z5,07ABCDE2210F1Z5,Supplier 13,Supplier 13,INV-00013,INV-00013,2026-08-01,2026-08-01,87972,87972,15834.96,15834.96,1,1,2,EXACT_MATCH
07ABCDE1593F1Z5,07ABCDE1593F1Z5,Supplier 14,Supplier 14,INV-00014,INV-00014,2026-07-05,2026-07-05,37479,37479,6746.22,6746.22,1,1,2,EXACT_MATCH
07ABCDE3351F1Z5,07ABCDE3351F1Z5,Supplier 15,Supplier 15,INV-00015,INV-00015,2026-07-01,2026-07-01,66819,66819,12027.42,12027.42,1,1,2,EXACT_MATCH
