purchase_id,gst_id,label,mutation_type
P_000000,G_000000,POSITIVE,EXACT
P_000001,G_000001,POSITIVE,EXACT
P_000002,G_000002,POSITIVE,REF_MISSING
P_000003,G_000003,POSITIVE,EXACT
P_000004,G_000004,NEGATIVE,AMOUNT_MISMATCH
P_000005,G_000005,POSITIVE,EXACT
P_000006,G_000006,POSITIVE,REF_MISSING
P_000007,G_000007,POSITIVE,VENDOR_ALIAS
P_000008,G_000008,POSITIVE,EXACT
P_000009,G_000009,NEGATIVE,AMOUNT_MISMATCH
P_000010,G_000010,POSITIVE,EXACT
P_000011,G_000011,NEGATIVE,AMOUNT_MISMATCH
P_000012,G_000012,POSITIVE,EXACT
P_000013,G_000013,POSITIVE,VENDOR_ALIAS
P_000014,G_000014,POSITIVE,VENDOR_ALIAS
P_000015,G_000015,POSITIVE,VENDOR_ALIAS
P_000016,G_000016,POSITIVE,VENDOR_ALIAS
P_000017,G_000017,POSITIVE,VENDOR_ALIAS
P_000018,G_000018,POSITIVE,EXACT
P_000019,G_000019,POSITIVE,EXACT
P_000020,G_000020,POSITIVE,EXACT
P_000021,G_000021,POSITIVE,EXACT
P_000022,G_000022,POSITIVE,EXACT
P_000023,G_000023,POSITIVE,EXACT
P_000024,G_000024,POSITIVE,VENDOR_ALIAS
P_000025,G_000025,POSITIVE,VENDOR_ALIAS
P_000026,G_000026,POSITIVE,EXACT
P_000027,G_000027,POSITIVE,EXACT
P_000028,G_000028,POSITIVE,EXACT
P_000029,G_000029,NEGATIVE,AMOUNT_MISMATCH
P_000030,G_000030,POSITIVE,EXACT
P_000031,G_000031,NEGATIVE,TAX_MISMATCH
P_000032,G_000032,POSITIVE,EXACT
P_000033,G_000033,POSITIVE,REF_MISSING
P_000034,G_000034,POSITIVE,EXACT
P_000035,G_000035,NEGATIVE,TAX_MISMATCH
P_000036,G_000036,POSITIVE,REF_MISSING
P_000037,G_000037,POSITIVE,VENDOR_ALIAS
P_000038,G_000038,POSITIVE,EXACT
P_000039,G_000039,POSITIVE,EXACT
P_000040,G_000040,POSITIVE,EXACT
P_000041,G_000041,POSITIVE,EXACT
P_000042,G_000042,POSITIVE,EXACT
P_000043,G_000043,POSITIVE,REF_MISSING
P_000044,G_000044,POSITIVE,EXACT
P_000045,G_000045,POSITIVE,EXACT
P_000046,G_000046,POSITIVE,VENDOR_ALIAS
P_000047,G_000047,POSITIVE,EXACT
P_000048,G_000048,POSITIVE,EXACT
P_000049,G_000049,POSITIVE,EXACT
P_000050,G_000050,POSITIVE,REF_MISSING
P_000051,G_000051,POSITIVE,EXACT
P_000052,G_000052,POSITIVE,EXACT
P_000053,G_000053,POSITIVE,EXACT
P_000054,G_000054,POSITIVE,REF_MISSING
P_000055,G_000055,POSITIVE,EXACT
P_000056,G_000056,POSITIVE,EXACT
P_000057,G_000057,POSITIVE,EXACT
P_000058,G_000058,NEGATIVE,AMOUNT_MISMATCH
P_000059,G_000059,POSITIVE,EXACT
P_000060,G_000060,NEGATIVE,TAX_MISMATCH
P_000061,G_000061,POSITIVE,EXACT
P_000062,G_000062,NEGATIVE,AMOUNT_MISMATCH
P_000063,G_000063,NEGATIVE,TAX_MISMATCH
P_000064,G_000064,POSITIVE,EXACT
P_000065,G_000065,POSITIVE,REF_MISSING
P_000066,G_000066,POSITIVE,REF_MISSING
P_000067,G_000067,POSITIVE,REF_MISSING
P_000068,G_000068,POSITIVE,VENDOR_ALIAS
P_000069,G_000069,POSITIVE,REF_MISSING
P_000070,G_000070,POSITIVE,EXACT
P_000071,G_000071,POSITIVE,EXACT
P_000072,G_000072,POSITIVE,REF_MISSING
P_000073,G_000073,POSITIVE,EXACT
P_000074,G_000074,POSITIVE,REF_MISSING
P_000075,G_000075,POSITIVE,EXACT
P_000076,G_000076,POSITIVE,EXACT
P_000077,G_000077,NEGATIVE,AMOUNT_MISMATCH
P_000078,G_000078,POSITIVE,EXACT
P_000079,G_000079,POSITIVE,EXACT
P_000080,G_000080,POSITIVE,EXACT
P_000081,G_000081,POSITIVE,REF_MISSING
P_000082,G_000082,POSITIVE,REF_MISSING
P_000083,G_000083,POSITIVE,EXACT
P_000084,G_000084,POSITIVE,EXACT
P_000085,G_000085,NEGATIVE,AMOUNT_MISMATCH
P_000086,G_000086,POSITIVE,EXACT
P_000087,G_000087,POSITIVE,VENDOR_ALIAS
P_000088,G_000088,POSITIVE,EXACT
P_000089,G_000089,POSITIVE,EXACT
P_000090,G_000090,NEGATIVE,TAX_MISMATCH
P_000091,G_000091,POSITIVE,EXACT
P_000092,G_000092,POSITIVE,REF_MISSING
P_000093,G_000093,POSITIVE,EXACT
P_000094,G_000094,POSITIVE,VENDOR_ALIAS
P_000095,G_000095,POSITIVE,EXACT
P_000096,G_000096,POSITIVE,EXACT
P_000097,G_000097,POSITIVE,EXACT
P_000098,G_000098,POSITIVE,EXACT
P_000099,G_000099,POSITIVE,REF_MISSING
P_000100,G_000100,NEGATIVE,AMOUNT_MISMATCH
P_000101,G_000101,POSITIVE,EXACT
P_000102,G_000102,POSITIVE,EXACT
P_000103,G_000103,POSITIVE,EXACT
