record_id,amount,record_date,reference,vendor_name,tax_identity
G_000000,10661.00,2025-03-12,INV/2025/20769,Vendor 0 Pvt Ltd,27AAAAA9849A1ZV
G_000001,8518.00,2025-08-01,INV/2025/54424,Vendor 1 Pvt Ltd,27AAAAA4505A1ZK
G_000002,27210.00,2025-08-04,,Vendor 2 Pvt Ltd,27AAAAA2020A1ZU
G_000003,75556.00,2025-07-14,INV/2025/63518,Vendor 3 Pvt Ltd,27AAAAA1320A1ZT
G_000004,110042.00,2025-10-03,INV/2025/98978,Vendor 4 Pvt Ltd,27AAAAA7389A1ZW
G_000005,28860.00,2025-05-20,INV/2025/58125,Vendor 5 Pvt Ltd,27AAAAA8999A1ZM
G_000006,95019.00,2025-03-26,,Vendor 6 Pvt Ltd,27AAAAA7624A1ZA
G_000007,3634.00,2025-07-21,INV/2025/78580,Vendor 7 Private Limited,27AAAAA9751A1Z2
G_000008,17886.00,2025-08-25,INV/2025/24819,Vendor 8 Pvt Ltd,27AAAAA8022A1ZG
G_000009,59699.00,2025-06-17,INV/2025/45236,Vendor 9 Pvt Ltd,27AAAAA4467A1Z7
G_000010,33165.00,2025-02-11,INV/2025/62644,Vendor 10 Pvt Ltd,27AAAAA7906A1Z9
G_000011,58978.00,2025-11-29,INV/2025/9993,Vendor 11 Pvt Ltd,27AAAAA6733A1ZA
G_000012,26230.00,2025-01-11,INV/2025/82439,Vendor 12 Pvt Ltd,27AAAAA5051A1ZH
G_000013,74020.00,2025-04-22,INV/2025/61952,None,27AAAAA2874A1Z8
G_000014,21565.00,2025-06-09,INV/2025/15168,Vendor 14 Pvt Ltd Inc,27AAAAA2876A1Z6
G_000015,52090.00,2025-04-12,INV/2025/10961,None,27AAAAA7149A1Z6
G_000016,91482.00,2025-06-04,INV/2025/90687,Vendor 16 Private Limited,27AAAAA2669A1Z7
G_000017,45608.00,2025-09-30,INV/2025/57148,Vendor 17 Private Limited,27AAAAA1672A1ZE
G_000018,1758.00,2025-08-04,INV/2025/65251,Vendor 18 Pvt Ltd,27AAAAA6590A1Z3
G_000019,92808.00,2025-03-20,INV/2025/58080,Vendor 19 Pvt Ltd,27AAAAA8532A1Z9
G_000020,80828.00,2025-10-03,INV/2025/64372,Vendor 20 Pvt Ltd,27AAAAA5425A1ZF
G_000021,42345.00,2025-05-06,INV/2025/12359,Vendor 21 Pvt Ltd,27AAAAA5397A1Z0
G_000022,74791.00,2025-11-09,INV/2025/88580,Vendor 22 Pvt Ltd,27AAAAA8613A1ZB
G_000023,23934.00,2025-09-07,INV/2025/28802,Vendor 23 Pvt Ltd,27AAAAA6325A1ZE
G_000024,78239.00,2025-12-26,INV/2025/37211,VENDOR 24 PVT LTD,27AAAAA5581A1Z6
G_000025,31735.00,2025-07-28,INV/2025/65038,Vendor 25 PVT LTD,27AAAAA2402A1ZS
G_000026,58843.00,2025-01-09,INV/2025/13196,Vendor 26 Pvt Ltd,27AAAAA9041A1ZB
G_000027,40235.00,2025-12-06,INV/2025/77225,Vendor 27 Pvt Ltd,27AAAAA4986A1ZZ
G_000028,55871.00,2025-10-09,INV/2025/44357,Vendor 28 Pvt Ltd,27AAAAA6632A1ZC
G_000029,33052.00,2025-04-29,INV/2025/16814,Vendor 29 Pvt Ltd,27AAAAA6023A1ZJ
G_000030,25205.00,2025-04-21,INV/2025/97810,Vendor 30 Pvt Ltd,27AAAAA4033A1ZL
G_000031,78322.00,2025-05-25,INV/2025/14176,Vendor 31 Pvt Ltd,27AAAAA6912A1ZD
G_000032,92901.00,2025-10-01,INV/2025/17591,Vendor 32 Pvt Ltd,27AAAAA1231A1ZR
G_000033,91511.00,2025-03-06,,Vendor 33 Pvt Ltd,27AAAAA5786A1ZZ
G_000034,75343.00,2025-05-26,INV/2025/62524,Vendor 34 Pvt Ltd,27AAAAA1200A1ZY
G_000035,33192.00,2025-09-02,INV/2025/15953,Vendor 35 Pvt Ltd,27AAAAA2213A1ZR
G_000036,19987.00,2025-03-18,,Vendor 36 Pvt Ltd,27AAAAA1878A1Z6
