record_id,amount,record_date,reference,vendor_name,tax_identity
P_000000,10661.00,2025-03-12,INV/2025/20769,Vendor 0 Pvt Ltd,27AAAAA9849A1ZV
P_000001,8518.00,2025-08-01,INV/2025/54424,Vendor 1 Pvt Ltd,27AAAAA4505A1ZK
P_000002,27210.00,2025-08-04,INV/2025/52049,Vendor 2 Pvt Ltd,27AAAAA2020A1ZU
P_000003,75556.00,2025-07-14,INV/2025/63518,Vendor 3 Pvt Ltd,27AAAAA1320A1ZT
P_000004,55021.00,2025-10-03,INV/2025/98978,Vendor 4 Pvt Ltd,27AAAAA7389A1ZW
P_000005,28860.00,2025-05-20,INV/2025/58125,Vendor 5 Pvt Ltd,27AAAAA8999A1ZM
P_000006,95019.00,2025-03-26,INV/2025/62261,Vendor 6 Pvt Ltd,27AAAAA7624A1ZA
P_000007,3634.00,2025-07-21,INV/2025/78580,Vendor 7 Pvt Ltd,27AAAAA9751A1Z2
P_000008,17886.00,2025-08-25,INV/2025/24819,Vendor 8 Pvt Ltd,27AAAAA8022A1ZG
P_000009,59698.00,2025-06-17,INV/2025/45236,Vendor 9 Pvt Ltd,27AAAAA4467A1Z7
P_000010,33165.00,2025-02-11,INV/2025/62644,Vendor 10 Pvt Ltd,27AAAAA7906A1Z9
P_000011,29489.00,2025-11-29,INV/2025/9993,Vendor 11 Pvt Ltd,27AAAAA6733A1ZA
P_000012,26230.00,2025-01-11,INV/2025/82439,Vendor 12 Pvt Ltd,27AAAAA5051A1ZH
P_000013,74020.00,2025-04-22,INV/2025/61952,Vendor 13 Pvt Ltd,27AAAAA2874A1Z8
P_000014,21565.00,2025-06-09,INV/2025/15168,Vendor 14 Pvt Ltd,27AAAAA2876A1Z6
P_000015,52090.00,2025-04-12,INV/2025/10961,Vendor 15 Pvt Ltd,27AAAAA7149A1Z6
P_000016,91482.00,2025-06-04,INV/2025/90687,Vendor 16 Pvt Ltd,27AAAAA2669A1Z7
P_000017,45608.00,2025-09-30,INV/2025/57148,Vendor 17 Pvt Ltd,27AAAAA1672A1ZE
P_000018,1758.00,2025-08-04,INV/2025/65251,Vendor 18 Pvt Ltd,27AAAAA6590A1Z3
P_000019,92808.00,2025-03-20,INV/2025/58080,Vendor 19 Pvt Ltd,27AAAAA8532A1Z9
P_000020,80828.00,2025-10-03,INV/2025/64372,Vendor 20 Pvt Ltd,27AAAAA5425A1ZF
P_000021,42345.00,2025-05-06,INV/2025/12359,Vendor 21 Pvt Ltd,27AAAAA5397A1Z0
P_000022,74791.00,2025-11-09,INV/2025/88580,Vendor 22 Pvt Ltd,27AAAAA8613A1ZB
P_000023,23934.00,2025-09-07,INV/2025/28802,Vendor 23 Pvt Ltd,27AAAAA6325A1ZE
P_000024,78239.00,2025-12-26,INV/2025/37211,Vendor 24 Pvt Ltd,27AAAAA5581A1Z6
P_000025,31735.00,2025-07-28,INV/2025/65038,Vendor 25 Pvt Ltd,27AAAAA2402A1ZS
P_000026,58843.00,2025-01-09,INV/2025/13196,Vendor 26 Pvt Ltd,27AAAAA9041A1ZB
P_000027,40235.00,2025-12-06,INV/2025/77225,Vendor 27 Pvt Ltd,27AAAAA4986A1ZZ
P_000028,55871.00,2025-10-09,INV/2025/44357,Vendor 28 Pvt Ltd,27AAAAA6632A1ZC
P_000029,33051.00,2025-04-29,INV/2025/16814,Vendor 29 Pvt Ltd,27AAAAA6023A1ZJ
P_000030,25205.00,2025-04-21,INV/2025/97810,Vendor 30 Pvt Ltd,27AAAAA4033A1ZL
P_000031,78322.00,2025-05-25,INV/2025/14176,Vendor 31 Pvt Ltd,27AAAAA9595A1ZS
P_000032,92901.00,2025-10-01,INV/2025/17591,Vendor 32 Pvt Ltd,27AAAAA1231A1ZR
P_000033,91511.00,2025-03-06,INV/2025/84606,Vendor 33 Pvt Ltd,27AAAAA5786A1ZZ
P_000034,75343.00,2025-05-26,INV/2025/62524,Vendor 34 Pvt Ltd,27AAAAA1200A1ZY
P_000035,33192.00,2025-09-02,INV/2025/15953,Vendor 35 Pvt Ltd,27AAAAA1841A1ZJ
P_000036,19987.00,2025-03-18,INV/2025/74772,Vendor 36 Pvt Ltd,27AAAAA1878A1Z6
P_000037,15625.00,2025-10-13,INV/2025/55548,Vendor 37 Pvt Ltd,27AAAAA5066A1ZA
P_000038,49956.00,2025-08-19,INV/2025/59028,Vendor 38 Pvt Ltd,27AAAAA9561A1Z2
P_000039,40126.00,2025-10-19,INV/2025/82399,Vendor 39 Pvt Ltd,27AAAAA8025A1ZD
P_000040,27335.00,2025-11-17,INV/2025/28659,Vendor 40 Pvt Ltd,27AAAAA2625A1ZJ
P_000041,22882.00,2025-10-10,INV/2025/10838,Vendor 41 Pvt Ltd,27AAAAA4929A1Z8
P_000042,38275.00,2025-01-17,INV/2025/31340,Vendor 42 Pvt Ltd,27AAAAA8699A1ZP
P_000043,9429.00,2025-12-18,INV/2025/31595,Vendor 43 Pvt Ltd,27AAAAA8438A1Z4
P_000044,55823.00,2025-02-28,INV/2025/72376,Vendor 44 Pvt Ltd,27AAAAA4241A1ZJ
P_000045,18743.00,2025-02-06,INV/2025/8816,Vendor 45 Pvt Ltd,27AAAAA5352A1ZD
P_000046,57660.00,2025-03-05,INV/2025/62433,Vendor 46 Pvt Ltd,27AAAAA5728A1Z9
P_000047,65697.00,2025-10-04,INV/2025/65722,Vendor 47 Pvt Ltd,27AAAAA5460A1ZC
P_000048,96376.00,2025-06-15,INV/2025/80129,Vendor 48 Pvt Ltd,27AAAAA8078A1Z0
P_000049,88217.00,2025-05-18,INV/2025/76529,Vendor 49 Pvt Ltd,27AAAAA1339A1ZI
P_000050,68121.00,2025-11-30,INV/2025/58963,Vendor 50 Pvt Ltd,27AAAAA8708A1Z7
P_000051,83302.00,2025-09-09,INV/2025/12959,Vendor 51 Pvt Ltd,27AAAAA8141A1ZC
P_000052,87935.00,2025-02-23,INV/2025/22079,Vendor 52 Pvt Ltd,27AAAAA6260A1ZC
P_000053,86946.00,2025-07-25,INV/2025/73102,Vendor 53 Pvt Ltd,27AAAAA5722A1ZF
P_000054,42472.00,2025-03-01,INV/2025/53976,Vendor 54 Pvt Ltd,27AAAAA5135A1ZG
P_000055,86300.00,2025-10-05,INV/2025/61552,Vendor 55 Pvt Ltd,27AAAAA1018A1ZQ
P_000056,81709.00,2025-09-13,INV/2025/82973,Vendor 56 Pvt Ltd,27AAAAA6927A1Z6
